email,name,organisation,role,contact_type,tags
enquiries@cityofbristol.ac.uk,Enquiries,City of Bristol College,Enquiries,college,"Bristol, South West"
info@sgscol.ac.uk,Enquiries,South Gloucestershire and Stroud College (SGS),Enquiries,college,"Bristol, Stroud, Gloucestershire, South West"
info@gloscol.ac.uk,Enquiries,Gloucestershire College,Enquiries,college,"Gloucester, Cheltenham, South West"
enquiries@bathcollege.ac.uk,Enquiries,Bath College,Enquiries,college,"Bath, Somerset, South West"
info@newcollege.ac.uk,Enquiries,New College Swindon,Enquiries,college,"Swindon, Wiltshire, South West"
info@wiltshire.ac.uk,Enquiries,Wiltshire College & University Centre,Enquiries,college,"Trowbridge, Chippenham, Wiltshire, South West"
info@exe-coll.ac.uk,Enquiries,Exeter College,Enquiries,college,"Exeter, Devon, South West"
info@cityplym.ac.uk,Enquiries,City College Plymouth,Enquiries,college,"Plymouth, Devon, South West"
enquiry@truro-penwith.ac.uk,Enquiries,Truro & Penwith College,Enquiries,college,"Truro, Cornwall, South West"
enquiries@cornwall.ac.uk,Enquiries,Cornwall College,Enquiries,college,"Camborne, Newquay, St Austell, Cornwall, South West"
hello@sccb.ac.uk,Enquiries,South & City College Birmingham,Enquiries,college,"Birmingham, West Midlands"
enquiries@bmet.ac.uk,Enquiries,BMet (Birmingham Metropolitan College),Enquiries,college,"Birmingham, Sutton Coldfield, West Midlands"
enquiries@solihull.ac.uk,Enquiries,Solihull College & University Centre,Enquiries,college,"Solihull, West Midlands"
mail@wolvcoll.ac.uk,Enquiries,City of Wolverhampton College,Enquiries,college,"Wolverhampton, West Midlands"
info@walsallcollege.ac.uk,Enquiries,Walsall College,Enquiries,college,"Walsall, West Midlands"
admissions@dudleycol.ac.uk,Admissions,Dudley College of Technology,Enquiries,college,"Dudley, West Midlands"
hello@coventrycollege.ac.uk,Enquiries,Coventry College,Enquiries,college,"Coventry, West Midlands"
enquiries@northamptoncollege.ac.uk,Enquiries,Northampton College,Enquiries,college,"Northampton, East Midlands"
enquiries@nottinghamcollege.ac.uk,Enquiries,Nottingham College,Enquiries,college,"Nottingham, East Midlands"
info@leicestercollege.ac.uk,Enquiries,Leicester College,Enquiries,college,"Leicester, East Midlands"
enquiries@derby-college.ac.uk,Enquiries,Derby College Group (DCG),Enquiries,college,"Derby, East Midlands"
info@wcg.ac.uk,Enquiries,Warwickshire College Group (WCG),Enquiries,college,"Leamington Spa, Warwickshire, West Midlands"
info@stokecoll.ac.uk,Enquiries,Stoke-on-Trent College,Enquiries,college,"Stoke-on-Trent, Staffordshire, West Midlands"
info@mkcollege.ac.uk,Enquiries,Milton Keynes College,Enquiries,college,"Milton Keynes, South East"
enquiries@tmc.ac.uk,Enquiries,The Manchester College,Enquiries,college,"Manchester, North West"
enquiries@salfordcc.ac.uk,Enquiries,Salford City College,Enquiries,college,"Salford, North West"
enquiries@trafford.ac.uk,Enquiries,Trafford College (TSCG),Enquiries,college,"Stretford, Manchester, North West"
enquiries@stockport.tscg.ac.uk,Enquiries,Stockport College (TSCG),Enquiries,college,"Stockport, North West"
info@tameside.ac.uk,Enquiries,Tameside College,Enquiries,college,"Ashton-under-Lyne, North West"
info@boltoncc.ac.uk,Enquiries,Bolton College,Enquiries,college,"Bolton, North West"
applications@wigan-leigh.ac.uk,Enquiries,Wigan & Leigh College,Enquiries,college,"Wigan, North West"
enquiries@sthelens.ac.uk,Enquiries,St Helens College,Enquiries,college,"St Helens, North West"
wmc.enquiries@wmc.ac.uk,Enquiries,Wirral Metropolitan College,Enquiries,college,"Birkenhead, Wirral, North West"
enquiries@hughbaird.ac.uk,Enquiries,Hugh Baird College,Enquiries,college,"Liverpool, North West"
info@knowsleycollege.ac.uk,Enquiries,Knowsley Community College,Enquiries,college,"Huyton, Liverpool, North West"
learner.services@wvr.ac.uk,Learner Services,Warrington & Vale Royal College,Enquiries,college,"Warrington, North West"
info@ccsw.ac.uk,Enquiries,Cheshire College South & West,Enquiries,college,"Crewe, Chester, North West"
enquiries@westlancs.ac.uk,Enquiries,West Lancashire College,Enquiries,college,"Skelmersdale, North West"
studentservices@burnley.ac.uk,Student Services,Burnley College,Enquiries,college,"Burnley, North West"
thehub@blackburn.ac.uk,Student Services,Blackburn College,Enquiries,college,"Blackburn, North West"
contact@leedscitycollege.ac.uk,Enquiries,Leeds City College,Enquiries,college,"Leeds, Yorkshire"
hello@bradfordcollege.ac.uk,Enquiries,Bradford College,Enquiries,college,"Bradford, Yorkshire"
info@heartofyorkshire.ac.uk,Enquiries,Heart of Yorkshire Education Group (Wakefield College),Enquiries,college,"Wakefield, Yorkshire"
info@barnsley.ac.uk,Enquiries,Barnsley College,Enquiries,college,"Barnsley, Yorkshire"
info@sheffcol.ac.uk,Enquiries,The Sheffield College,Enquiries,college,"Sheffield, Yorkshire"
info@rotherham.ac.uk,Enquiries,Rotherham College (RNN Group),Enquiries,college,"Rotherham, Yorkshire"
admissions@calderdale.ac.uk,Admissions,Calderdale College,Enquiries,college,"Halifax, Yorkshire"
info@yorkcollege.ac.uk,Enquiries,York College,Enquiries,college,"York, Yorkshire"
info@hull-college.ac.uk,Enquiries,Hull College,Enquiries,college,"Hull, Yorkshire"
info@don.ac.uk,Enquiries,Doncaster College (DN Colleges),Enquiries,college,"Doncaster, Yorkshire"
infocent@grimsby.ac.uk,Enquiries,Grimsby Institute (DN Colleges),Enquiries,college,"Grimsby, Lincolnshire"
enquiries@ncl-coll.ac.uk,Enquiries,Newcastle College,Enquiries,college,"Newcastle upon Tyne, North East"
info@sunderlandcollege.ac.uk,Enquiries,Sunderland College (EPNE),Enquiries,college,"Sunderland, North East"
start@gateshead.ac.uk,Student Services,Gateshead College,Enquiries,college,"Gateshead, North East"
CourseInformation@mbro.ac.uk,Course Information,Middlesbrough College,Enquiries,college,"Middlesbrough, North East"
enquiries@hartlepoolfe.ac.uk,Enquiries,Hartlepool College of Further Education,Enquiries,college,"Hartlepool, North East"
enquiryline@darlington.ac.uk,Enquiries,Darlington College,Enquiries,college,"Darlington, North East"
start@bacoll.ac.uk,Enquiries,Bishop Auckland College,Enquiries,college,"Bishop Auckland, North East"
info.newcastle@nscg.ac.uk,Enquiries,NSCG Newcastle-under-Lyme College,Enquiries,college,"Newcastle-under-Lyme, Staffordshire, West Midlands"
info.stafford@nscg.ac.uk,Enquiries,NSCG Stafford College,Enquiries,college,"Stafford, Staffordshire, West Midlands"
enquiries@sandwell.ac.uk,Enquiries,Sandwell College,Enquiries,college,"West Bromwich, West Midlands"
info@loucoll.ac.uk,Enquiries,Loughborough College,Enquiries,college,"Loughborough, East Midlands"
enquiries@lincolncollege.ac.uk,Enquiries,Lincoln College,Enquiries,college,"Lincoln, East Midlands"
contact@nnc.ac.uk,Enquiries,North Nottinghamshire College,Enquiries,college,"Worksop, East Midlands"
info@peterborough.ac.uk,Enquiries,Peterborough College (IEG),Enquiries,college,"Peterborough, East of England"
information@ccn.ac.uk,Enquiries,City College Norwich,Enquiries,college,"Norwich, East of England"
info@suffolk.ac.uk,Enquiries,Suffolk New College,Enquiries,college,"Ipswich, East of England"
admissions@chelmsford.ac.uk,Admissions,Chelmsford College,Enquiries,college,"Chelmsford, East of England"
admissions@westherts.ac.uk,Admissions,West Herts College,Enquiries,college,"Hemel Hempstead, East of England"
enquiries@nhc.ac.uk,Enquiries,North Hertfordshire College,Enquiries,college,"Hitchin, East of England"
info@bedfordcollegegroup.ac.uk,Enquiries,Bedford College Group,Enquiries,college,"Bedford, East of England"
