email,name,organisation,role,contact_type,tags
info@west-cheshire.ac.uk,,Cheshire College South and West,Electrical Department,college,"north west,cheshire"
info@macclesfield.ac.uk,,Macclesfield College,Electrical Department,college,"north west,cheshire"
info@reaseheath.ac.uk,,Reaseheath College,Electrical Department,college,"north west,cheshire"
info@lakes.ac.uk,,Lakes College,Electrical Department,college,"north west,cumbria"
info@kendal.ac.uk,,Kendal College,Electrical Department,college,"north west,cumbria"
info@furness.ac.uk,,Furness College,Electrical Department,college,"north west,cumbria"
info@carlisle.ac.uk,,Carlisle College,Electrical Department,college,"north west,cumbria"
info@leedscitycollege.ac.uk,,Leeds City College,Electrical Department,college,"yorkshire,leeds"
info@leedscoll.ac.uk,,Leeds College of Building,Electrical Department,college,"yorkshire,leeds"
info@bradfordcollege.ac.uk,,Bradford College,Electrical Department,college,"yorkshire,bradford"
info@shipley.ac.uk,,Shipley College,Electrical Department,college,"yorkshire,bradford"
info@calderdale.ac.uk,,Calderdale College,Electrical Department,college,"yorkshire,halifax"
info@kirkleescollege.ac.uk,,Kirklees College,Electrical Department,college,"yorkshire,huddersfield"
info@sheffcol.ac.uk,,The Sheffield College,Electrical Department,college,"yorkshire,sheffield"
info@longley.ac.uk,,Longley Park Sixth Form College,Electrical Department,college,"yorkshire,sheffield"
info@yorkcollege.ac.uk,,York College,Electrical Department,college,"yorkshire,york"
info@askham-bryan.ac.uk,,Askham Bryan College,Electrical Department,college,"yorkshire,york"
info@hull-college.ac.uk,,Hull College,Electrical Department,college,"yorkshire,hull"
info@eastridingcollege.ac.uk,,East Riding College,Electrical Department,college,"yorkshire,east riding"
info@selby.ac.uk,,Selby College,Electrical Department,college,"yorkshire,north yorkshire"
info@craven-college.ac.uk,,Craven College,Electrical Department,college,"yorkshire,north yorkshire"
info@scarborough.ac.uk,,Scarborough TEC,Electrical Department,college,"yorkshire,scarborough"
info@barnsley.ac.uk,,Barnsley College,Electrical Department,college,"yorkshire,barnsley"
info@rnn.ac.uk,,RNN Group (Rotherham and North Notts),Electrical Department,college,"yorkshire,rotherham"
info@dncolleges.ac.uk,,Doncaster College,Electrical Department,college,"yorkshire,doncaster"
info@ncl-coll.ac.uk,,Newcastle College,Electrical Department,college,"north east,newcastle"
info@ncgrp.co.uk,,NCG (Newcastle College Group),Electrical Department,college,"north east,newcastle"
info@stc.ac.uk,,Sunderland College (Education Partnership North East),Electrical Department,college,"north east,sunderland"
info@gateshead.ac.uk,,Gateshead College,Electrical Department,college,"north east,gateshead"
info@nedcollege.ac.uk,,North East Enterprise College,Electrical Department,college,"north east,north east"
info@northumbria.ac.uk,,Northumberland College,Electrical Department,college,"north east,northumberland"
info@etconsort.org.uk,,East Coast College,Electrical Department,college,"north east,teesside"
info@stockton.ac.uk,,Stockton Riverside College,Electrical Department,college,"north east,teesside"
info@hartlepoolfe.ac.uk,,Hartlepool College,Electrical Department,college,"north east,hartlepool"
info@mbro.ac.uk,,Middlesbrough College,Electrical Department,college,"north east,teesside"
info@darlington.ac.uk,,Darlington College,Electrical Department,college,"north east,county durham"
info@bacoll.ac.uk,,Bishop Auckland College,Electrical Department,college,"north east,county durham"
info@eastdurham.ac.uk,,East Durham College,Electrical Department,college,"north east,county durham"
info@newdur.ac.uk,,New College Durham,Electrical Department,college,"north east,county durham"
info@cambridgeregional.ac.uk,,Cambridge Regional College,Electrical Department,college,"east,cambridgeshire"
info@westanglia.ac.uk,,College of West Anglia,Electrical Department,college,"east,cambridgeshire"
info@peterborough.ac.uk,,Peterborough College (IOG),Electrical Department,college,"east,cambridgeshire"
info@bedford.ac.uk,,Bedford College Group,Electrical Department,college,"east,bedfordshire"
info@luton.ac.uk,,Barnfield College,Electrical Department,college,"east,bedfordshire"
info@centralbedscollege.ac.uk,,Central Bedfordshire College,Electrical Department,college,"east,bedfordshire"
info@hrc.ac.uk,,Hertford Regional College,Electrical Department,college,"east,hertfordshire"
info@nhc.ac.uk,,North Hertfordshire College,Electrical Department,college,"east,hertfordshire"
info@oaklands.ac.uk,,Oaklands College,Electrical Department,college,"east,hertfordshire"
info@wghc.ac.uk,,West Herts College,Electrical Department,college,"east,hertfordshire"
info@colchester.ac.uk,,Colchester Institute,Electrical Department,college,"east,essex"
info@seevic-college.ac.uk,,SEEVIC College,Electrical Department,college,"east,essex"
info@palmers.ac.uk,,Palmer's College,Electrical Department,college,"east,essex"
info@southessex.ac.uk,,South Essex College,Electrical Department,college,"east,essex"
info@harlow-college.ac.uk,,Harlow College,Electrical Department,college,"east,essex"
info@nescot.ac.uk,,Chelmsford College,Electrical Department,college,"east,essex"
info@epping-forest.ac.uk,,Epping Forest College,Electrical Department,college,"east,essex"
info@braintree.ac.uk,,Braintree District Council Adult Education,Electrical Department,college,"east,essex"
info@suffolk.ac.uk,,Suffolk New College,Electrical Department,college,"east,suffolk"
info@easterncollegegroup.org.uk,,East Coast College (Lowestoft),Electrical Department,college,"east,suffolk"
info@accesstomusic.ac.uk,,West Suffolk College,Electrical Department,college,"east,suffolk"
info@ccn.ac.uk,,City College Norwich,Electrical Department,college,"east,norfolk"
info@ccp.ac.uk,,East Norfolk Sixth Form College,Electrical Department,college,"east,norfolk"
info@gyc.ac.uk,,Great Yarmouth College,Electrical Department,college,"east,norfolk"
info@easton.ac.uk,,Easton College,Electrical Department,college,"east,norfolk"
info@coleg.cymru,,Coleg Cambria,Electrical Department,college,"wales,north wales"
enquiries@colegsirgar.ac.uk,,Coleg Sir Gar,Electrical Department,college,"wales,west wales"
enquiries@gllm.ac.uk,,Grŵp Llandrillo Menai,Electrical Department,college,"wales,north wales"
info@cavc.ac.uk,,Cardiff and Vale College,Electrical Department,college,"wales,cardiff"
info@bridgend.ac.uk,,Bridgend College,Electrical Department,college,"wales,south wales"
info@gowercollegeswansea.ac.uk,,Gower College Swansea,Electrical Department,college,"wales,swansea"
info@nptcgroup.ac.uk,,NPTC Group,Electrical Department,college,"wales,south wales"
info@merthyr.ac.uk,,Coleg y Cymoedd,Electrical Department,college,"wales,south wales"
info@gwentcollege.ac.uk,,Coleg Gwent,Electrical Department,college,"wales,gwent"
info@ceredigion.gov.uk,,Ceredigion Adult Learning,Electrical Department,college,"wales,ceredigion"
info@stcolumbas.ac.uk,,Coleg Ceredigion,Electrical Department,college,"wales,ceredigion"
info@pembrokeshire.ac.uk,,Pembrokeshire College,Electrical Department,college,"wales,pembrokeshire"
info@belfastmet.ac.uk,,Belfast Metropolitan College,Electrical Department,college,"northern ireland,belfast"
info@serc.ac.uk,,South Eastern Regional College,Electrical Department,college,"northern ireland,ni"
info@nrc.ac.uk,,Northern Regional College,Electrical Department,college,"northern ireland,ni"
info@nwrc.ac.uk,,North West Regional College,Electrical Department,college,"northern ireland,ni"
info@src.ac.uk,,Southern Regional College,Electrical Department,college,"northern ireland,ni"
info@edinburghcollege.ac.uk,,Edinburgh College,Electrical Department,college,"scotland,edinburgh"
info@glasgowclyde.ac.uk,,Glasgow Clyde College,Electrical Department,college,"scotland,glasgow"
info@cityofglasgowcollege.ac.uk,,City of Glasgow College,Electrical Department,college,"scotland,glasgow"
info@glasgowkelvin.ac.uk,,Glasgow Kelvin College,Electrical Department,college,"scotland,glasgow"
info@ayrshire.ac.uk,,Ayrshire College,Electrical Department,college,"scotland,ayrshire"
info@borderscollege.ac.uk,,Borders College,Electrical Department,college,"scotland,scottish borders"
info@dumgal.ac.uk,,Dumfries and Galloway College,Electrical Department,college,"scotland,dumfries and galloway"
info@dundeeandangus.ac.uk,,Dundee and Angus College,Electrical Department,college,"scotland,dundee"
info@fife.ac.uk,,Fife College,Electrical Department,college,"scotland,fife"
info@forthvalley.ac.uk,,Forth Valley College,Electrical Department,college,"scotland,central scotland"
info@moray.ac.uk,,Moray College UHI,Electrical Department,college,"scotland,highlands"
info@nescol.ac.uk,,North East Scotland College,Electrical Department,college,"scotland,aberdeen"
info@newbattleabbeycollege.ac.uk,,Newbattle Abbey College,Electrical Department,college,"scotland,midlothian"
info@nclan.ac.uk,,New College Lanarkshire,Electrical Department,college,"scotland,lanarkshire"
info@perth.uhi.ac.uk,,Perth College UHI,Electrical Department,college,"scotland,perth"
info@rvca.ac.uk,,Royal Conservatoire of Scotland - Continuing Ed,Electrical Department,college,"scotland,glasgow"
info@shetland.uhi.ac.uk,,Shetland UHI,Electrical Department,college,"scotland,shetland"
info@sruc.ac.uk,,SRUC (Scotland's Rural College),Electrical Department,college,"scotland,national"
info@uhi.ac.uk,,UHI (University of the Highlands and Islands),Electrical Department,college,"scotland,highlands"
info@westlothian.ac.uk,,West Lothian College,Electrical Department,college,"scotland,west lothian"
info@uwsc.ac.uk,,University of the West of Scotland - Paisley Campus,Electrical Department,college,"scotland,glasgow"
info@glasgowelectricalcourses.com,,Glasgow Electrical Training,Enquiries,training_provider,"scotland,glasgow"
info@pdctraining.co.uk,,PDC Electrical Training,Enquiries,training_provider,"north east"
info@electricalsafety.uk.com,,Electrical Safety Council Training,Enquiries,training_provider,"national"
info@blue-flame.com,,Blue Flame Training Services,Enquiries,training_provider,"east anglia"
info@elmwoodtraining.co.uk,,Elmwood Training,Enquiries,training_provider,"north east"
info@kentelectricaltraining.co.uk,,Kent Electrical Training Centre,Enquiries,training_provider,"south east,kent"
info@themidlandstrainingcompany.co.uk,,Midlands Training Company,Enquiries,training_provider,"midlands"
info@yorkshiretrainingcentre.co.uk,,Yorkshire Training Centre,Enquiries,training_provider,"yorkshire"
